state,spending_value,spending_rank,demographics_value,demographics_rank,eligibility_value,eligibility_rank,takeup_value,takeup_rank,units_value,units_rank,payroll_value,payroll_rank,nonpayroll_value,nonpayroll_rank
WA,112.98162427089791,15,,,,,,,0.0008708986307924873,12,45088.31668331668,16,84641.62004662005,30
WI,111.07466207199163,16,,,,,,,0.000513023136871848,31,41255.107252298265,26,175254.93701055498,9
WV,89.08034367049092,21,,,,,,,0.001096797792182676,10,34119.076620825144,45,47099.48919449902,47
FL,158.30319380414323,8,,,,,,,0.0007102463170600112,18,38986.861133338185,33,183898.05921291918,8
WY,633.1260736393057,1,,,,,,,0.0022811855924755545,2,41454.59726443769,25,236087.95592705166,7
NH,47.19075272251432,44,,,,,,,0.000311814830427981,45,42881.65048543689,18,108460.58252427183,20
NJ,68.87190175754844,30,,,,,,,0.00022814330779630465,48,59112.91851851852,2,242767.0814814815,5
NM,117.54663018314358,14,,,,,,,0.0006869443162553475,19,37405.50977653631,37,133709.71368715083,17
NC,73.6449189853984,27,,,,,,,0.0005508720037102307,26,36608.66480446927,40,97079.23091247672,26
ND,478.51162525562734,2,,,,,,,0.0011286794308149437,7,39799.55808080808,30,384157.5126262626,2
NE,157.4325231057938,9,,,,,,,0.001521972398620955,5,33914.1395184136,46,69525.66218130311,38
NY,33.97741843022491,52,,,,,,,0.0001675920098494732,51,52105.87948874011,7,150633.01278149727,12
RI,59.938041319087205,34,,,,,,,0.0003999479402681076,39,55890.02375296912,3,93974.58432304037,28
NV,121.40263388555283,11,,,,,,,0.00029253296893742663,46,49962.10918114144,10,365042.8535980149,3
CO,69.36752425838968,29,,,,,,,0.0003463214136231441,43,48774.74416017797,13,151523.36484983316,11
CA,89.5184744782173,20,,,,,,,0.0006079955273892238,22,52510.58810820154,6,94724.82801832166,27
GA,44.671237019860875,46,,,,,,,0.00043099102732130254,37,30832.287719298245,50,72815.43157894738,37
CT,50.31574449095556,42,,,,,,,0.00017416164537684297,50,50995.0,8,237907.55591054313,6
OK,58.83037176003829,37,,,,,,,0.0006180150739089964,21,33309.84315387876,47,61882.611275964395,43
OH,34.57314715103177,50,,,,,,,0.0002916655592494473,47,40351.47224695756,28,78185.48233897297,35
KS,84.01658231593858,23,,,,,,,0.0004352095624134172,35,37494.27547770701,36,155554.2914012739,10
SC,39.50814600621138,48,,,,,,,0.00046245506467700883,34,30992.696886446887,49,54438.62179487179,46
KY,67.66541993605516,31,,,,,,,0.0007585323482678657,15,34546.73383458646,43,54658.98045112783,45
OR,97.30155098489644,19,,,,,,,0.0008066824600301024,13,41929.48171701113,23,78689.91414944356,32
SD,179.0764334263227,6,,,,,,,0.0015709930689367577,4,35541.24332570557,42,78448.07780320366,34
DE,103.7288372209698,18,,,,,,,0.0005813186225911541,24,37517.84240150094,35,140919.30581613508,14
DC,70.47272612748803,28,,,,,,,6.771227009322248e-05,52,63474.88372093023,1,977292.5581395349,1
HI,54.02845847759064,39,,,,,,,0.0005557286722967103,25,41162.1834625323,27,56058.746770025835,44
TX,59.024453578623046,35,,,,,,,0.0005483547403349267,27,41700.21175483961,24,65938.96638479279,40
LA,199.14787879630225,5,,,,,,,0.0011101594355734,9,39489.56768388106,32,139897.1694053208,15
TN,52.15829093454757,41,,,,,,,0.0006439792433267128,20,37006.959345681986,38,43986.78614385374,51
PA,54.40843073120427,38,,,,,,,0.0004829271130880295,32,49184.49002756608,11,63479.36598021729,42
VA,34.7551975230862,49,,,,,,,0.00038897056687669693,40,42780.489488547224,19,46571.25196109193,49
AK,409.8601933301508,3,,,,,,,0.0033621445503302645,1,53446.63547599674,5,68457.75834011391,39
AL,52.47158060099421,40,,,,,,,0.0005187355059196875,29,35824.705882352944,41,65328.15526210484,41
AR,80.17970365849524,25,,,,,,,0.0007557725561997762,16,33072.44055630328,48,73017.28577837595,36
VT,140.81560295014836,10,,,,,,,0.0009470755648115911,11,46109.22428330523,14,102575.43001686339,25
IL,45.48491377385152,45,,,,,,,0.0003768905797007448,41,42088.907666941464,22,78595.75845012367,33
IN,48.574774474916914,43,,,,,,,0.00041421725786951603,38,34175.7163958641,44,83093.11669128509,31
IA,175.38016895675625,7,,,,,,,0.0005868134404660697,23,50080.15512465374,9,248788.54293628808,4
AZ,58.89934407486247,36,,,,,,,0.0003387614478795455,44,39560.49527239982,31,134306.231427285,16
ID,110.99843944873057,17,,,,,,,0.0014283117843556302,6,40272.874067573495,29,37440.157964019316,52
ME,118.68278598696966,13,,,,,,,0.00079934246179414,14,42134.265536723164,21,106341.25235404898,21
MD,83.98781428961072,24,,,,,,,0.0004317851583695969,36,48893.282232704405,12,145619.6894654088,13
MA,40.60425831252576,47,,,,,,,0.00022281221467678933,49,54171.43627781524,4,128063.89750505732,18
UT,63.28116408202035,33,,,,,,,0.0005166023744796325,30,36905.92542372881,39,85588.98983050848,29
MO,63.838682378465,32,,,,,,,0.00047831794069023504,33,30504.257460097153,51,102960.69743233865,22
MN,118.73921475519063,12,,,,,,,0.0007361612009036142,17,45369.96718000505,15,115925.16031305227,19
MI,33.98416211750164,51,,,,,,,0.0003726941446654205,42,44419.19923995657,17,46765.92562432138,48
US,77.82856092531405,26,,,,,,,0.000535872421944883,28,42361.985456619375,20,102875.12273947863,23
MT,246.59781547868354,4,,,,,,,0.0017529495216198766,3,38081.118047673095,34,102594.81838819523,24
MS,86.02954251596628,22,,,,,,,0.001120176334843311,8,30441.06427503737,52,46358.935724962634,50
